,Gene_symbol,Log_FoldChange,PValue
407,SPTSSB,-1.515,0.00044982021910387195
409,KLF10,-1.3019999999999998,0.00044894090414498896
413,FABP3,-1.1079999999999999,0.000447449842727841
418,SOWAHB,-2.226,0.000456150510917222
423,RNF175,-1.103,0.00046660997478110896
425,DOC2A,-1.043,0.000463217364114209
427,GABBR1,-3.736,0.00047452355165495595
429,MPEG1,-1.858,0.00048108557995880593
430,STMN2,-1.087,0.00048395588207526797
431,LOC100130331,-3.054,0.0004896569138931361
433,RASSF5,-1.298,0.00048742788758564807
438,MUM1L1,-1.659,0.000517256213640318
439,RPRML,-1.2670000000000001,0.000514841371855862
446,LMTK2,-1.135,0.00052923355508506
450,PDE1A,-1.0270000000000001,0.0005365835496855339
451,NNAT,-1.229,0.000531818030739374
453,NAP1L5,-1.048,0.000537794565172883
458,MCHR2,-1.3530000000000002,0.000552470369953601
461,BZW2,-1.089,0.00055818599631214
462,LINC02361,-1.68,0.000562046560639185
463,VPS4A,-1.916,0.000562522714584014
465,DRP2,-1.008,0.000567803368608545
472,NTSR1,-1.609,0.0005885595436732281
473,FHL2,-1.127,0.000592649365998936
480,CLEC2L,-1.084,0.000610523436572524
481,VSNL1,-1.015,0.000610157072349333
486,PNMA6A,-1.071,0.000630847667257301
488,HTR5A-AS1,-1.307,0.0006438512365994
489,SLC29A1,-1.1320000000000001,0.00064324595906692
490,AMPH,-1.045,0.000641996399844921
492,NAPB,-1.075,0.000643598306360255
494,GPR158,-1.0759999999999998,0.000653235435000056
496,MYL9,-2.08,0.000652988759238351
498,KNCN,-1.849,0.000658693078710404
502,CXorf40A,-1.046,0.000671896207239115
504,AK5,-1.062,0.000668830438204754
507,DUSP27,-2.1790000000000003,0.0006946812333869309
508,KCNK1,-1.07,0.0006964858081848679
510,NBEA,-1.048,0.000699327783891863
511,LRRC38,-2.168,0.000710166330560473
514,ZNF778,-1.121,0.000706262521688464
523,TUBA8,-1.083,0.0007260286765866519
527,LOC105373377,-1.469,0.000752768324258517
529,ISLR2,-1.176,0.0007412921669918191
531,SERPINF1,-1.0959999999999999,0.000746933241889121
541,TMEM261,-1.081,0.000766996331370177
542,ARHGAP20,-1.239,0.000769429710325207
543,RAB6B,-1.1179999999999999,0.00077466927112806
547,TUSC3,-1.083,0.0007838448606069191
549,CYP4X1,-1.2209999999999999,0.000793491772978126
552,SPATA2L,-1.158,0.0008052091206205299
554,RTP1,-1.5630000000000002,0.000820245554542524
558,BDNF,-1.338,0.000839147925738322
561,C1QL3,-1.706,0.000847309170201707
577,CASQ1,-1.248,0.000910423500971933
590,PEG13,-1.304,0.0009404746617792211
591,RAB3C,-1.2770000000000001,0.000942115107344745
593,ATP2B2,-1.139,0.0009459087813446619
603,LINC02192,-2.202,0.0009814845983019769
604,IPCEF1,-1.266,0.000981619692824436
606,ZCCHC12,-1.3330000000000002,0.0009858750207092839
608,OVOL2,-2.931,0.0010103465352520199
610,RASGRP1,-1.212,0.00100882994332682
614,FEN1,-1.1640000000000001,0.00102504119563888
617,NCEH1,-1.071,0.00104301276155171
623,DKK2,-2.41,0.0010870193224345802
626,PRDM6,-3.562,0.0010950615326251
632,NECAP1,-1.025,0.00111492410284804
