,Gene_symbol,Log_FoldChange,PValue
1171,CDH13,1.4680000000000002,0.00717729508252772
1173,VSIG2,1.133,0.00720100154198765
1176,CABP7,1.624,0.00721150966369215
1177,NNAT,1.1909999999999998,0.007237360275316
1199,HYAL4,1.025,0.00748953079880229
1200,CADPS,1.4880000000000002,0.00753425697889842
1201,THSD4,1.122,0.0075389552215580705
1204,DMRT3,2.443,0.0075676110478435
1207,SYN1,1.002,0.007571182310767721
1208,CISTR,2.247,0.007639546183211509
1212,RASAL1,1.2209999999999999,0.0077269282441813905
1214,NFIA-AS1,2.1430000000000002,0.0077511559927136
1219,KCTD12,1.319,0.0078149739546778
1220,COL14A1,1.609,0.00781819670606128
1229,PTPRT,2.568,0.00801404710407798
1236,RUBCNL,1.536,0.008162704579669909
1239,CD9,1.59,0.008227365689854141
1241,PCDHB8,1.023,0.00826809368241832
1245,ABCB4,1.139,0.008327990996621891
1249,CD81-AS1,1.589,0.00838723197248843
1259,MEIS1-AS2,1.093,0.008678258387308029
1266,TRPA1,2.135,0.00880241980583152
1267,HAS2,1.2590000000000001,0.00880430086478388
1272,GRM8,1.192,0.008911024157884171
1276,GATM,1.281,0.00898963279932214
1279,OLFM1,1.158,0.009039575666932441
1280,NRXN1,1.018,0.009048082009697509
1281,GPR37,1.238,0.00908373982558723
1282,RAPGEF4-AS1,1.464,0.00915399247772935
1283,CLEC11A,1.068,0.00916180822561227
1285,PRR25,1.121,0.00923529052065286
1286,LEXM,1.6669999999999998,0.00924411473240364
1290,NLRP2,2.944,0.00933211153229133
1292,PCDHB5,1.239,0.00937568096351687
1305,INPP4B,1.347,0.00964024151779562
1306,A3GALT2,1.818,0.00969325068724806
1309,NDP,1.411,0.00970646920367579
1316,NINJ2,2.238,0.00984736609293985
1318,LOC645485,1.895,0.0098926377850911
1321,SSPO,1.038,0.009904333279540479
1323,CCND2-AS1,1.197,0.00997080951527855
1339,LOC101928205,1.1,0.010313795631178001
1340,CHADL,1.0959999999999999,0.0103099971183372
1343,LGI3,1.479,0.0103540038200917
1344,NDRG2,1.1909999999999998,0.0103766335047616
1345,PCSK1N,1.508,0.0103914331544687
1348,NAT2,1.777,0.0105695361802714
1349,MIR3648-2,1.5830000000000002,0.0105435266815783
1350,MIR3648-1,1.5830000000000002,0.0105466273045972
1355,TIMP3,1.594,0.0105726956570529
1356,MEG8,1.735,0.0106033073201888
1358,S1PR5,1.422,0.0106288804625155
1364,RAB6B,1.095,0.0107010859533468
1373,DSCAML1,1.7480000000000002,0.0107771831548352
1377,LOC102724604,1.4780000000000002,0.010960159536958
1379,CCDC80,1.124,0.010991109590888998
1383,RNF180,1.183,0.0110808933273909
1384,HRAT92,1.1440000000000001,0.0111104435392667
1387,CHRM3-AS1,1.7,0.0111787460930187
1390,YIPF7,1.254,0.0112077119532712
1391,LINC01535,1.06,0.0112519893540422
1394,IGFBP3,1.724,0.0113279945321178
1395,NEU1,1.7069999999999999,0.0113616486806589
1399,TSPAN7,1.172,0.0114577807834039
1404,RYR3,1.121,0.011711603605515
1405,C10orf53,1.079,0.0117423941923291
