,Gene_symbol,Log_FoldChange,PValue
382,ATP6V1A,-1.044,0.000247523094422093
383,TRIM25,-1.396,0.000247516678808105
384,EIF1AX-AS1,-2.87,0.000248573152846629
385,LUCAT1,-2.4859999999999998,0.000250025280733893
386,ACOX1,-1.3030000000000002,0.000251730148654868
387,SOS2,-1.2329999999999999,0.000250488494614664
388,JAML,-1.344,0.000251167199376545
389,ADPGK-AS1,-1.5,0.000255885982659552
390,NFAT5,-1.089,0.00025546254410713703
391,DAPK2,-2.114,0.000258345291313688
392,ALPK3,-1.9909999999999999,0.00026208906811282996
394,CREBRF,-1.192,0.000261718659160783
395,B3GNT5,-1.6640000000000001,0.00026297570488997797
396,DENND3,-1.7080000000000002,0.000264002431865218
397,AMPD2,-1.5290000000000001,0.00026597432635896
399,KLHL15,-1.089,0.00026841908314195203
400,SMG1P3,-1.062,0.000270941275146693
401,SIGLEC9,-1.119,0.000270630300913028
403,MTMR3,-1.052,0.00027174360842305203
404,BASP1,-2.217,0.00027715301733591003
405,CPD,-1.255,0.000279278835050525
406,LINC00189,-1.982,0.000280898609901018
407,SCLT1,-1.3090000000000002,0.000282347151958111
408,NRXN1,-2.8,0.00028429409272117404
410,LOC286059,-3.2739999999999996,0.000285126926241065
411,RPS6KA5,-1.225,0.000285259284361469
412,LMNB1,-1.222,0.00028681626575362404
413,JAG1,-1.182,0.00028953884673201804
414,BTNL8,-2.873,0.00028967986577603397
416,FOXO4,-1.057,0.000290012285024695
417,GZF1,-1.067,0.000292114920312771
419,MAP3K14,-2.005,0.0002980074653962
420,MAP1LC3B2,-1.55,0.00029822329420735403
421,CCNJL,-2.4290000000000003,0.00029628939348785095
422,SIGLEC5,-2.104,0.000297133265167101
423,SLC43A2,-1.186,0.000295212911736876
424,MEFV,-1.4569999999999999,0.00029702226337488703
425,DOK3,-1.401,0.000297462863110864
427,LINC01317,-2.8760000000000003,0.000301394722387916
428,ADAM32,-3.168,0.000305654312570039
429,MID1IP1,-1.449,0.00030657763734722
430,TNFRSF10B,-1.429,0.00030685926632654
431,CEACAM1,-1.821,0.00030788397317433
432,SLC6A8,-2.073,0.00030892336367599504
433,OOSP1,-4.859,0.000312395526899069
434,LOC102724231,-2.074,0.000310984081548219
435,F2RL1,-1.821,0.00031294485324172
437,OAZ2,-1.4669999999999999,0.00031328909597441804
440,FOS,-1.5030000000000001,0.000324189541901447
441,GATAD2B,-1.3359999999999999,0.000327884099770227
444,NECAB2,-2.719,0.000330991380381498
445,GUCY2C,-1.561,0.000333150057699829
448,C5orf67,-2.417,0.000337852602956174
450,ST20-MTHFS,-1.413,0.000337596316278509
451,MANSC1,-2.739,0.00034509525675935696
453,OGFRL1,-1.01,0.000344043775188377
454,C4A,-3.009,0.000347275571488125
456,PDLIM7,-1.795,0.00035605524115891096
458,CPEB2,-1.2309999999999999,0.000359221089631087
460,TM6SF1,-1.226,0.00036152883350404704
461,RNF103-CHMP3,-2.444,0.000366037738678823
462,IL1R1,-1.989,0.00036554701511545297
463,TNFSF13B,-1.11,0.000364334067174915
465,FHDC1,-1.794,0.000369814728515514
466,CYB5R4,-1.268,0.00037201908263347403
467,YPEL5,-1.46,0.000373952457931345
468,WDFY4,-1.216,0.00037674416426635896
469,NCF2,-1.3519999999999999,0.000377342455308506
470,ARHGEF40,-1.347,0.000379107221121765
472,FPR2,-2.0580000000000003,0.000384609341968837
473,ELL,-1.254,0.00038781373749195697
475,NOV,-2.662,0.000395364420086867
476,HLA-DMA,-2.502,0.0003965348416598
477,SPTY2D1,-1.099,0.000396118121920138
478,EPHB1,-3.017,0.000399069505176909
480,MAP7D2,-2.969,0.00040424150485703
481,TRPV5,-3.366,0.00040714761801149903
483,IFNAR1,-1.199,0.000409447405039448
485,NDE1,-1.146,0.000412408350646494
487,NLRP12,-1.145,0.000416307910815717
488,FFAR2,-2.6919999999999997,0.000416574784318851
489,RBP7,-1.22,0.000421692683982023
490,PTGS2,-2.197,0.000429639990345518
492,FBN2,-1.053,0.000432051221714871
494,PPT2-EGFL8,-3.784,0.000434727832803096
495,MYO1F,-1.348,0.000437800109040255
496,BEND7,-2.2030000000000003,0.000440408713787269
499,ITPK1,-1.159,0.000448010513170935
501,CSF2RB,-1.7819999999999998,0.00045058007011941506
503,FCAR,-1.506,0.00045536645347417804
505,NR6A1,-1.5830000000000002,0.000457468492443207
506,ITGAX,-1.564,0.00046071846215805097
