,Gene_symbol,Log_FoldChange,PValue,Unnamed: 0
387, SLC2A3,-1.12725816,0.004917800000000001,415.0
389,RRM1,-1.3079866000000002,0.0049676,418.0
397,TMED5,-1.45343255,0.0050649,428.0
400,DARS2,-1.43710265,0.0050934,431.0
405,POGK,-1.14406424,0.0051955,438.0
419,ZNF271,-1.01860763,0.0053935,453.0
426,MRO,-1.10627506,0.005446800000000001,460.0
441,KCTD20,-1.19328654,0.0057402,477.0
442,BLZF1,-1.23337481,0.005764899999999999,478.0
449,UGT8,-1.30802602,0.0058861,485.0
453,PLEKHB1,-1.09870603,0.005911100000000001,490.0
458,S100B,-1.0616879,0.005945499999999999,495.0
466,GOLIM4,-1.36823283,0.0060404,503.0
469,DNAJB5,-1.1592976000000002,0.006097699999999999,506.0
480,C20orf199,-1.18975332,0.0062629,519.0
485,C11orf58,-1.27537098,0.006324300000000001,525.0
492,VPS18,-1.06911306,0.0064521,535.0
493,CHM,-1.14576963,0.0064726,536.0
501,ZNF675,-1.00466637,0.006558199999999999,544.0
504, SMPD4,-1.11192002,0.0065836,547.0
510,TMEM209,-1.12356644,0.0066515,553.0
515,MCFD2,-1.04640731,0.0066969,558.0
529,SPARC,-1.40439025,0.0069663,573.0
536,SPOP,-1.2021538,0.0070405,582.0
562,FADS2,-1.76420989,0.007390100000000002,610.0
563,ADAMTS3,-1.39945162,0.007413600000000002,611.0
574,RHOBTB3,-1.0019539000000002,0.0075753,623.0
575,CASP3,-1.32074442,0.007586799999999999,625.0
577,MKRN1,-1.33181044,0.0076346,627.0
578,CDCA7L,-1.11125318,0.007645999999999998,628.0
593,KIAA1430,-1.1076161,0.0079249,644.0
595,CHST10,-1.30853094,0.007940899999999999,646.0
605,CLCC1,-1.34185216,0.008063800000000001,658.0
611,PPP1R8,-1.00366141,0.008118,665.0
644,S1PR1,-1.95363778,0.0085619,700.0
657,RBM39,-1.08179525,0.008762899999999999,713.0
658,DDX42,-1.02093262,0.008771,714.0
662,KDM5D,-1.42999929,0.0087914,718.0
673,NFIA,-1.18816744,0.0089583,732.0
675,HSPA4,-1.05170674,0.008983,734.0
752,HKR1,-1.13505416,0.0101555,824.0
777,GPR21,-1.38856107,0.0104881,854.0
813,LYPLAL1,-1.03644279,0.0108808,892.0
817,HEATR3,-1.07161867,0.0109424,896.0
842,CCDC109A,-1.41781078,0.0112431,924.0
