,Gene_symbol,Log_FoldChange,PValue
1218,GABBR1,-1.926,0.00794220671536573
1219,NPC2,-1.551,0.0079479539311065
1220,RNF157,-1.141,0.0079685209979085
1221,RAB7A,-1.5830000000000002,0.00798841431114453
1222,PREX1,-1.27,0.00798544241527248
1227,SCAND1,-2.568,0.00806716930084962
1231,UBQLN2,-1.4340000000000002,0.00811933614552035
1232,PIGT,-1.368,0.00811903857305552
1233,RNASEK,-1.561,0.008124233651967041
1234,STK24,-1.032,0.00808520623851368
1237,WIZ,-1.455,0.00814651977178567
1248,KLF16,-2.2030000000000003,0.00818352443222855
1249,NELFE,-1.52,0.00819416948693075
1250,TMBIM4,-1.1079999999999999,0.00822014431981535
1251,MLLT1,-1.715,0.008182151695020729
1252,SLC25A6,-1.3719999999999999,0.008255996927041959
1258,NRSN2,-1.7009999999999998,0.00831981977024105
1260,IFITM2,-3.272,0.00835230075302625
1261,CNIH2,-1.751,0.00835542294554274
1262,PFN1,-1.492,0.00836722690999606
1263,QSOX1,-1.504,0.00838151257557593
1268,GBE1,-1.382,0.00840345557972406
1269,PPP2R1A,-1.2590000000000001,0.00841960538268481
1277,SORBS3,-1.858,0.00854240322897195
1278,RPL14,-1.541,0.008536119964809241
1279,ZNF428,-1.508,0.00857187378793889
1281,PRPF8,-1.5630000000000002,0.00861935579350581
1308,TMEM163,-1.723,0.00885461193043283
1309,IFI6,-1.919,0.008894871375620709
1310,FLOT2,-1.2890000000000001,0.00883239837577234
1311,PCBP1,-1.959,0.00888587388953765
1312,WSCD1,-1.374,0.00887856868564905
1323,KCNK13,-3.698,0.008956277634791029
1327,MT2A,-1.982,0.00892069224787156
1328,CUTA,-2.2769999999999997,0.00901990124995532
1330,TP53INP2,-1.7269999999999999,0.00904127837538
1331,SLC25A39,-1.371,0.00892495233228807
1332,C1orf198,-1.2590000000000001,0.008947085149457929
1333,EIF5A,-1.261,0.00895808432788623
1336,MGAT4B,-1.2329999999999999,0.00908133239452509
1337,DIRAS3,-2.122,0.009097663285810959
1338,ZYX,-1.801,0.00909743787921841
1343,MAPK3,-1.37,0.009145121058014
1353,PCGF2,-2.266,0.009272994189410721
1355,SDR39U1,-1.72,0.009296981973477359
1356,SEZ6L2,-2.059,0.00929337982212275
1357,VAT1,-1.204,0.009289678180702109
1359,CCDC92,-1.719,0.009340474537544871
1360,ISYNA1,-1.631,0.00933034435571946
1373,SCAF1,-1.825,0.009481723350186209
1374,RABAC1,-1.855,0.00945458469287932
1375,PSMF1,-1.294,0.00948831200212562
1379,NEU1,-4.379,0.009545281842542391
1380,PLEKHG5,-1.258,0.00952429776045453
1381,NAPA,-1.643,0.0095342394431096
1382,LINC01260,-4.859,0.009555334010176041
1387,CCNI2,-2.539,0.00959723552888118
1388,C1QTNF5,-1.855,0.009610801769846829
1389,ZCCHC12,-1.817,0.00959453502123578
1390,DGKZ,-1.357,0.00961051536177037
1392,MAPK8IP2,-1.571,0.00963607773112694
1393,POLR2L,-1.972,0.00964109245112855
1406,VAMP2,-2.313,0.009823376825961721
1412,ATP13A2,-1.3619999999999999,0.00988902465073477
1426,CMIP,-1.844,0.010024353643472999
1427,CCDC124,-1.7590000000000001,0.0100592786913587
1431,C5orf49,-2.122,0.0101290278714422
1436,ATP6AP1,-1.273,0.0102165128842711
1437,S100B,-1.6219999999999999,0.0101967193715997
1438,AES,-1.742,0.010191363003489001
1439,GNAS,-1.369,0.0102074529608252
1440,TBC1D3I,-4.077,0.0102274618136653
1441,INAFM1,-2.21,0.0102407678961425
1442,CCDC103,-1.371,0.0102444444880445
1450,DDX19A,-3.7689999999999997,0.0103235101800368
1451,SMN1,-2.066,0.0102962837139285
1452,GPAA1,-1.7,0.0103120746306085
1453,BAX,-1.6230000000000002,0.0103352636654026
1454,LAMTOR1,-1.442,0.0103370556627999
1455,GPX1,-1.6230000000000002,0.0103095655959211
1456,SPRY2,-1.268,0.0103497309358343
1458,NDUFA13,-1.454,0.0103836343076736
1459,CHPF,-2.141,0.0104018592516439
1460,HCN2,-2.454,0.0104407765230628
1461,PLD3,-1.304,0.0104585195793615
1465,FSCN1,-1.4,0.0104895516913359
1483,ATP5D,-2.077,0.0106683659341854
1486,DDIT4,-1.2,0.0107019069021769
1489,TMED9,-1.483,0.0107557541027688
1493,BRI3,-1.3780000000000001,0.0107934451973979
1495,TRAF4,-1.163,0.0108784017457342
1496,TUBB2A,-1.423,0.0109004556839517
1499,NME4,-1.348,0.0109522891492984
1505,SSBP1,-1.568,0.011012990404266
1506,SPRN,-1.61,0.0110353212336628
1514,CAPNS1,-1.3519999999999999,0.0111241705376294
1521,DYNLRB1,-1.5030000000000001,0.0111898376664623
1527,RNASEK-C17orf49,-2.997,0.0112696013717183
1529,NWD2,-2.085,0.0112660204824955
1530,CAPZB,-1.168,0.0112573952824811
1533,CPVL,-1.4980000000000002,0.0113416906312676
1534,ARHGAP1,-1.3130000000000002,0.0113492158554396
1535,SBK1,-1.9069999999999998,0.0113636407744851
1539,IRF2BPL,-1.431,0.0114021754870979
1542,SELENON,-1.6569999999999998,0.0114587202023971
1545,LENG8,-1.455,0.0115493885799848
1555,EFCC1,-1.524,0.0116508504039168
1556,NDUFS8,-1.44,0.0116561570471358
1558,SMARCA4,-1.198,0.011684520587924
1565,HCFC1R1,-1.8259999999999998,0.0117412235377115
1571,LAMTOR5,-1.4380000000000002,0.0118018961031453
1572,VEGFA,-1.891,0.0118074601429672
1574,ZACN,-2.53,0.0118353199328356
1577,RASA3,-1.157,0.0118975804899548
1591,WDR46,-2.485,0.0120841714389681
1592,AMH,-2.344,0.0120761619694312
1593,CEP170B,-1.535,0.012089268942976999
1594,ARL16,-1.3019999999999998,0.0120967099594898
1595,CIC,-1.6119999999999999,0.012113014839981999
1596,MATN2,-1.679,0.0121146321666029
1597,NPTXR,-1.7169999999999999,0.0120133609504763
1598,UBXN6,-1.432,0.0120035349966433
1599,GPX4,-1.291,0.0120346084818673
1602,MTRNR2L1,-5.443,0.0122042594346497
1608,GFRA1,-2.094,0.0122932266438008
1611,B3GALT4,-4.803,0.0123256975407253
1613,USP11,-1.128,0.0123384710058915
1615,TMEM246,-1.331,0.0123823171228457
1625,NACAD,-1.954,0.0126242568909705
1629,MSMP,-5.4670000000000005,0.0127479478390698
1635,SLN,-4.7010000000000005,0.0127410688613793
1636,LINC00565,-1.969,0.0126997888771382
1637,ATP6V0E2,-1.182,0.0127188260784022
1638,SH3PXD2B,-1.141,0.0127596738166362
1640,PPT2,-2.444,0.0127809067359667
1641,P4HTM,-1.3,0.0127961960778589
1648,CDKN2A,-2.481,0.0128822779601103
1649,NCSTN,-1.29,0.0128833600711598
1651,VASN,-2.662,0.0129211565817193
1667,COPS6,-1.449,0.0131888866458302
1677,PPP4C,-1.1840000000000002,0.0132994389350583
1678,ADGRL1,-1.266,0.0133195863137661
1680,UBA1,-1.102,0.013315482212062999
1685,EFHD2,-1.6280000000000001,0.0133920827918385
1686,METRN,-2.0340000000000003,0.0133648011930806
1687,UQCR11,-1.54,0.0133420168524186
1688,CDK16,-1.092,0.0133428503572499
1689,COTL1,-1.3519999999999999,0.0133937828562881
1694,ABCA2,-1.5330000000000001,0.0134642935414676
1695,RPL17,-1.6540000000000001,0.0134554301709578
1697,SPRY1,-1.1740000000000002,0.0134910758078845
1708,SP110,-4.042,0.013654165096458
1711,UBALD2,-1.824,0.0135901110523634
1712,ADGRB2,-1.435,0.0136338585068556
1713,SDHC,-1.594,0.0136608238533429
1722,DAP,-1.493,0.0137694583120559
1727,TM7SF2,-1.122,0.0138117189427108
1728,CLPP,-1.465,0.0138239937632385
1731,C9orf172,-2.164,0.0138737150060856
1736,ARHGDIG,-1.653,0.013930849933623998
1739,KCNF1,-2.089,0.0139968612693889
1740,COMMD4,-1.102,0.0140151914893317
1742,RAC3,-1.465,0.0140354354526242
1748,FAM57B,-2.286,0.0141270875058682
1749,AP2S1,-1.251,0.0141341749813076
1752,RXRB,-1.993,0.0142067551790357
1754,RPRM,-2.452,0.014218066670597999
1764,THY1,-1.425,0.0143473808346821
1765,PKN1,-1.284,0.0143509530099884
1769,ENO2,-1.442,0.0144082571581858
1772,POM121,-1.6480000000000001,0.014477401153446999
1773,MRPL53,-1.778,0.0145008037996853
1782,RTL1,-3.303,0.0145706358371757
1783,MANSC1,-1.52,0.0145962415577039
1788,CSDC2,-1.5530000000000002,0.0146957213920156
1789,TMEM120A,-1.527,0.014718047569156
1791,OAZ2,-1.36,0.0147581818078398
1792,PGAM1,-1.141,0.0147533771457091
1793,CKB,-1.314,0.0147562624150152
1802,BAD,-1.51,0.0148943748988172
1803,KHSRP,-1.29,0.0148983036606751
1811,TUBB4A,-2.3930000000000002,0.0149519496062813
1812,GPSM1,-1.2790000000000001,0.0149265406579784
1814,HNRNPUL2-BSCL2,-1.148,0.0150703141086019
1815,GDF1,-2.765,0.0151242324902357
1816,SERPINB6,-1.203,0.0151245053294602
1817,FKBP8,-1.435,0.0151195070717412
1824,IGFBP4,-2.313,0.0152695720568564
1825,TMEM134,-1.703,0.0152916284005069
1826,MAGEL2,-1.7009999999999998,0.0153201122262708
