,Gene_symbol,Log_FoldChange,PValue
623,CRYBB1,1.516,0.0139068008070024
625,KCNQ3,1.745,0.0137818524111173
626,SDS,1.768,0.0138005220956739
627,GSDMA,1.9909999999999999,0.0138301542110215
628,STEAP3,1.028,0.0138929646338467
634,HOXC10,2.379,0.0143519012923363
636,MED16,2.0780000000000003,0.0142887713410165
638,ADRB1,1.208,0.0141471819271747
639,CCR1,1.0070000000000001,0.0143761181348228
649,CD28,1.207,0.0145279013387147
655,HLA-DQB2,2.627,0.0150279895700961
661,SPOCD1,1.901,0.0151312990929064
664,C9orf24,1.675,0.0152809047848493
666,CAPN11,1.4340000000000002,0.01534434371734
678,HLA-DOA,1.944,0.0157633304749436
687,HTR5A-AS1,2.753,0.0159261011985678
695,FZD8,1.0979999999999999,0.0160142374333242
707,MAP7D1,1.057,0.0163631849616823
709,SPTBN5,1.288,0.0164151992795014
712,HSPB7,1.181,0.0164919176557435
714,PLK2,1.15,0.0166644143994902
718,EHF,2.622,0.0168660063965912
723,SMAD6,1.112,0.0170565309417683
729,CD86,1.0959999999999999,0.0173271330698457
743,ABCC3,1.5230000000000001,0.017711683387139
744,SLC9A3R2,1.139,0.0176993308782458
745,PRRT1,1.4709999999999999,0.0177513065195604
747,LOC101928530,2.22,0.0178108107281224
753,OTOF,2.115,0.0182184781602546
754,AMBP,2.804,0.0184039498625005
758,GPR137C,1.2229999999999999,0.0183298468315368
767,LOC283710,1.537,0.0187932746091242
768,LOC105378828,1.209,0.0189760884486573
779,TUSC5,1.276,0.0191120774758767
781,UTS2,1.807,0.0192328626453673
785,PSORS1C3,3.136,0.0193540781549187
786,LRRC25,1.0390000000000001,0.0193723166045867
788,C15orf48,1.98,0.0196529892606469
789,KIF20A,1.484,0.0196922574270664
791,CA8,1.171,0.0197383445182441
793,SASH3,1.067,0.0197400355801651
799,RPH3AL,1.9880000000000002,0.0198343766537353
800,SIRPB1,1.49,0.0198216032580359
804,CCL3,2.332,0.0200055568618305
810,C10orf90,1.838,0.0201237006116985
822,SYNM,1.169,0.0204298352339863
825,CYTL1,1.754,0.0206048619383799
833,CCDC62,1.946,0.0210973046812492
834,LOC101559451,3.182,0.0212906717436007
836,RPL31P11,2.739,0.0213445909358807
837,TBX5-AS1,3.623,0.0212750841825716
839,VMO1,1.34,0.0213401016518857
840,LYL1,1.1640000000000001,0.0212654539423542
841,ADAMTS18,1.321,0.0213484519262671
852,P2RY12,1.087,0.0218846769437317
853,PWWP2B,1.115,0.0218431610781541
854,MSC-AS1,1.003,0.0216710291326044
859,KIR2DL4,3.366,0.0221464765740398
860,LINC01909,2.0180000000000002,0.0220722225184269
862,MMP8,2.779,0.0219470740414649
863,LOC100506585,1.385,0.0221693333758178
865,F5,1.6780000000000002,0.0220477391875372
873,DEFB124,1.9609999999999999,0.0223329901894905
874,PPP2R1B,1.175,0.0223804458662405
875,C5orf38,2.215,0.0224080978793674
883,APOB,1.4269999999999998,0.0228958602153063
893,AKR1C2,1.209,0.0236099169690554
895,FAM212B-AS1,1.8630000000000002,0.0238468520800634
